institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
Belmont Abbey College,NC,Belmont,True,30.0,19500.0
Belmont University,TN,Nashville,True,236.0,41320.0
Beloit College,WI,Beloit,True,86.0,58554.0
Bemidji State University,MN,Bemidji,True,83.0,10130.0
Benedict College,SC,Columbia,True,86.0,18000.0
Benedictine College,KS,Atchison,True,8.0,35350.0
Benedictine University,IL,Lisle,True,56.0,34290.0
Benjamin Franklin Institute of Technology,MA,Boston,True,,18228.0
Bennett College,NC,Greensboro,True,180.0,18550.0
Bennington College,VT,Bennington,True,112.0,64644.0
Bentley University,MA,Waltham,True,1.0,58610.0
Berea College,KY,Berea,True,30.0,726.0
Berkeley College (NJ),NJ,Woodland Park,True,,28600.0
Berkeley College (NY),NY,New York,True,36.0,28600.0
Berklee College of Music,MA,Boston,True,39.0,50270.0
Berry College,GA,Mount Berry,True,5.0,40416.0
Bethany College (KS),KS,Lindsborg,True,63.0,31305.0
Bethany College (WV),WV,Bethany,True,,32640.0
Bethany Lutheran College,MN,Mankato,True,159.0,30010.0
Bethel College,KS,North Newton,True,23.0,34002.0
Bethel University (IN),IN,Mishawaka,True,47.0,33320.0
Bethel University (MN),MN,St. Paul,True,236.0,42930.0
Bethel University (TN),TN,McKenzie,True,110.0,18168.0
Bethune-Cookman University,FL,Daytona Beach,True,,14794.0
Binghamton University--SUNY,NY,Binghamton,True,73.0,28203.0
Biola University,CA,La Mirada,True,236.0,46704.0
Birmingham-Southern College,AL,Birmingham,True,135.0,22750.0
Bismarck State College,ND,Bismarck,True,39.0,8790.0
Blackburn College,IL,Carlinville,True,35.0,26758.0
Black Hills State University,SD,Spearfish,True,145.0,11866.0
Blessing-Rieman College of Nursing and Health Sciences,IL,Quincy,True,,29180.0
Bluefield State University,WV,Bluefield,True,57.0,17100.0
Bluefield University,VA,Bluefield,True,104.0,29420.0
Blue Mountain Christian University,MS,Blue Mountain,True,17.0,19280.0
Bluffton University,OH,Bluffton,True,22.0,36298.0
Bob Jones University,SC,Greenville,True,24.0,23350.0
Boise State University,ID,Boise,True,332.0,26976.0
Bon Secours Memorial College of Nursing,VA,Richmond,True,,15300.0
Boricua College,NY,New York,True,23.0,12025.0
Boston Architectural College,MA,Boston,True,,22144.0
Boston College,MA,Chestnut Hill,True,39.0,67680.0
Boston University,MA,Boston,True,43.0,65168.0
Bowdoin College,ME,Brunswick,True,9.0,64910.0
Bowie State University,MD,Bowie,True,130.0,19839.0
Bowling Green State University,OH,Bowling Green,True,280.0,21424.0
Bradley University,IL,Peoria,True,185.0,39680.0
Brandeis University,MA,Waltham,True,60.0,62722.0
Brazosport College,TX,Lake Jackson,True,,4748.0
Brenau University,GA,Gainesville,True,,33275.0
Brescia University,KY,Owensboro,True,44.0,30450.0
Brevard College,NC,Brevard,True,33.0,31250.0
Brewton-Parker College,GA,Mount Vernon,True,,20040.0
Briar Cliff University,IA,Sioux City,True,,34498.0
Bridgewater College,VA,Bridgewater,True,167.0,41350.0
Bridgewater State University,MA,Bridgewater,True,91.0,17444.0
Brigham Young University,UT,Provo,True,115.0,6496.0
Brigham Young University--Hawaii,HI,Laie Oahu,True,9.0,6250.0
Brigham Young University--Idaho,ID,Rexburg,True,8.0,4536.0
Brookline College--Albuquerque,NM,Albuquerque,True,,91801.0
Brookline College-Phoenix,AZ,Phoenix,True,,89404.0
Broward College,FL,Fort Lauderdale,True,47.0,10329.0
Brown University,RI,Providence,True,9.0,68230.0
Bryan College,TN,Dayton,True,63.0,18050.0
Bryan College of Health Sciences,NE,Lincoln,True,,17870.0
Bryant & Stratton College--Wauwatosa,WI,,True,,19267.0
Bryant University,RI,Smithfield,True,6.0,51169.0
Bryn Athyn College of the New Church,PA,Bryn Athyn,True,174.0,28669.0
Bryn Mawr College,PA,Bryn Mawr,True,30.0,62560.0
Bucknell University,PA,Lewisburg,True,30.0,64772.0
Buena Vista University,IA,Storm Lake,True,47.0,40190.0
Bushnell University,OR,Eugene,True,73.0,34740.0
Butler University,IN,Indianapolis,True,1.0,45980.0
Cabarrus College of Health Sciences,NC,Concord,True,,15560.0
Cairn University,PA,Langhorne,True,144.0,31355.0
Caldwell University,NJ,Caldwell,True,80.0,39660.0
California Baptist University,CA,Riverside,True,30.0,40030.0
California College of the Arts,CA,San Francisco,True,,57946.0
California Institute of Technology,CA,Pasadena,True,7.0,63255.0
California Institute of the Arts,CA,Valencia,True,28.0,55056.0
California Lutheran University,CA,Thousand Oaks,True,11.0,50670.0
California Polytechnic State University -- Humboldt,CA,Arcata,True,32.0,19744.0
California Polytechnic State University--San Luis Obispo,CA,San Luis Obispo,True,1.0,26970.0
California State Polytechnic University--Pomona,CA,Pomona,True,3.0,19318.0
California State University--Bakersfield,CA,Bakersfield,True,34.0,17212.0
California State University--Channel Islands,CA,Camarillo,True,28.0,18697.0
California State University--Chico,CA,Chico,True,16.0,19944.0
California State University--Dominguez Hills,CA,Carson,True,38.0,17876.0
California State University--East Bay,CA,Hayward,True,280.0,18875.0
"California State University, Fresno",CA,Fresno,True,185.0,13112.0
California State University--Fullerton,CA,Fullerton,True,133.0,18954.0
California State University--Long Beach,CA,Long Beach,True,105.0,17200.0
California State University--Los Angeles,CA,Los Angeles,True,21.0,17388.0
California State University--Maritime Academy,CA,Vallejo,True,2.0,18996.0
California State University--Monterey Bay,CA,Seaside,True,14.0,19233.0
California State University--Northridge,CA,Northridge,True,25.0,18949.0
"California State University, Sacramento",CA,Sacramento,True,18.0,19482.0
California State University--San Bernardino,CA,San Bernardino,True,170.0,14311.0
"California State University, San Marcos",CA,San Marcos,True,28.0,17232.0
California State University--Stanislaus,CA,Turlock,True,10.0,19698.0
Calumet College of St. Joseph,IN,Whiting,True,,22730.0
Calvary University,MO,Kansas City,True,64.0,12500.0
Calvin University,MI,Grand Rapids,True,4.0,38670.0
Cambridge College,MA,Cambridge,True,,17190.0
Cameron University,OK,Lawton,True,97.0,16320.0
Campbellsville University,KY,Campbellsville,True,100.0,26100.0
Campbell University,NC,Buies Creek,True,320.0,40410.0
Canisius University,NY,Buffalo,True,33.0,32720.0
Capital University,OH,Columbus,True,47.0,41788.0
Capitol Technology University,MD,Laurel,True,,27004.0
Caribbean University,PR,Bayamon,True,,5966.0
Carleton College,MN,Northfield,True,9.0,65457.0
Carlow University,PA,Pittsburgh,True,87.0,35628.0
Carnegie Mellon University,PA,Pittsburgh,True,24.0,63829.0
Carolinas College of Health Sciences,NC,,True,,16179.0
Carroll College,MT,Helena,True,3.0,40352.0
Carroll University,WI,Waukesha,True,38.0,37230.0
Carson-Newman University,TN,Jefferson City,True,361.0,34700.0
Carthage College,WI,Kenosha,True,32.0,36500.0
Cascadia College,WA,Bothell,True,,10426.0
Case Western Reserve University,OH,Cleveland,True,53.0,62234.0
Castleton University,VT,Castleton,True,136.0,30046.0
Catawba College,NC,Salisbury,True,6.0,33400.0
The Catholic University of America,DC,Washington,True,178.0,55834.0
Cedar Crest College,PA,Allentown,True,87.0,44934.0
Cedarville University,OH,Cedarville,True,21.0,36078.0
CEM College--San Juan,PR,San Juan,True,,12300.0
