institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
Florida College,FL,Temple Terrace,True,61.0,18060.0
Florida Gateway College,FL,Lake City,True,,11747.0
Florida Gulf Coast University,FL,Fort Myers,True,304.0,25161.0
Florida Institute of Technology,FL,Melbourne,True,269.0,44360.0
Florida International University,FL,Miami,True,124.0,18964.0
Florida Keys Community College,FL,Key West,True,,13162.0
Florida Memorial University,FL,Miami,True,43.0,16836.0
Florida National University,FL,Hialeah,True,69.0,16088.0
Florida Polytechnic University,FL,Lakeland,True,2.0,21005.0
Florida Southern College,FL,Lakeland,True,11.0,42360.0
Florida SouthWestern State College,FL,Fort Myers,True,,9750.0
Florida State College--Jacksonville,FL,Jacksonville,True,,9992.0
Florida State University,FL,Tallahassee,True,53.0,21683.0
Fontbonne University,MO,St. Louis,True,74.0,28976.0
Foothill College,CA,Los Altos Hills,True,,11510.0
Fordham University,NY,New York,True,89.0,61567.0
Fort Hays State University,KS,Hays,True,109.0,15870.0
Fort Lewis College,CO,Durango,True,23.0,19724.0
Fort Valley State University,GA,Fort Valley,True,69.0,20190.0
Framingham State University,MA,Framingham,True,80.0,17460.0
Franciscan Missionaries of Our Lady University,LA,Baton Rouge,True,,15012.0
Franciscan University of Steubenville,OH,Steubenville,True,26.0,32630.0
Francis Marion University,SC,Florence,True,55.0,21544.0
Franklin College,IN,Franklin,True,139.0,37350.0
Franklin & Marshall College,PA,Lancaster,True,35.0,68380.0
Franklin Pierce University,NH,Rindge,True,141.0,43155.0
Franklin University,OH,Columbus,True,,9577.0
Franklin University Switzerland,,6924 Sorengo (Lugano,True,,
Franklin W. Olin College of Engineering,MA,Needham,True,,61802.0
Freed-Hardeman University,TN,Henderson,True,36.0,24300.0
Fresno Pacific University,CA,Fresno,True,41.0,35558.0
Friends University,KS,Wichita,True,124.0,32748.0
Frostburg State University,MD,Frostburg,True,111.0,25180.0
Furman University,SC,Greenville,True,46.0,58312.0
Galen College of Nursing--Louisville,KY,Louisville,True,,42420.0
Gallaudet University,DC,Washington,True,236.0,18254.0
Gannon University,PA,Erie,True,260.0,36676.0
Gardner-Webb University,NC,Boiling Springs,True,356.0,33230.0
Geneva College,PA,Beaver Falls,True,83.0,30990.0
George Fox University,OR,Newberg,True,269.0,40940.0
George Mason University,VA,Fairfax,True,105.0,37976.0
Georgetown College,KY,Georgetown,True,,42010.0
Georgetown University,DC,Washington,True,22.0,65082.0
George Washington University,DC,Washington,True,67.0,64990.0
Georgia College & State University,GA,Milledgeville,True,16.0,28178.0
Georgia Gwinnett College,GA,Lawrenceville,True,47.0,16244.0
Georgia Highlands College,GA,Rome,True,,9696.0
Georgia Institute of Technology,GA,Atlanta,True,33.0,32876.0
Georgia Military College,GA,Milledgeville,True,,7043.0
Georgian Court University,NJ,Lakewood,True,111.0,37110.0
Georgia Southern University,GA,Statesboro,True,352.0,20816.0
Georgia Southwestern State University,GA,Americus,True,103.0,19434.0
Georgia State University,GA,Atlanta,True,227.0,29306.0
Gettysburg College,PA,Gettysburg,True,63.0,64230.0
Glenville State University,WV,Glenville,True,52.0,11140.0
Goddard College,VT,Plainfield,True,,18477.0
God's Bible School and College,OH,Cincinnati,True,57.0,7046.0
Goldey-Beacom College,DE,Wilmington,True,123.0,13050.0
Goldfarb School of Nursing at Barnes-Jewish College,MO,Saint Louis,True,,21515.0
Gonzaga University,WA,Spokane,True,93.0,53500.0
Good Samaritan College of Nursing and Health Science,OH,Cincinnati,True,,15470.0
Goodwin University,CT,East Hartford,True,,21198.0
Gordon College,MA,Wenham,True,163.0,28100.0
Gordon State College,GA,Barnesville,True,,10381.0
Goshen College,IN,Goshen,True,12.0,37760.0
Goucher College,MD,Baltimore,True,124.0,51250.0
Governors State University,IL,University Park,True,,23536.0
Grace Christian University,MI,Grand Rapids,True,55.0,22350.0
Grace College and Seminary,IN,Winona Lake,True,55.0,29048.0
Graceland University,IA,Lamoni,True,121.0,33220.0
Grambling State University,LA,Grambling,True,100.0,16706.0
Grand Canyon University,AZ,Phoenix,True,,17800.0
Grand Valley State University,MI,Allendale,True,235.0,20820.0
Grand View University,IA,Des Moines,True,92.0,33450.0
Grays Harbor College,WA,Aberdeen,True,,10284.0
Grayson College,TX,,True,,5692.0
Great Basin College,NV,Elko,True,,13037.0
Great Lakes Christian College,MI,Lansing,True,,17220.0
Green River College,WA,Auburn,True,,4916.0
Greensboro College,NC,Greensboro,True,103.0,20400.0
Greenville University,IL,Greenville,True,112.0,30598.0
Grinnell College,IA,Grinnell,True,11.0,64862.0
Grove City College,PA,Grove City,True,4.0,20890.0
Guilford College,NC,Greensboro,True,167.0,41140.0
Gulf Coast State College,FL,Panama City,True,,8635.0
Gustavus Adolphus College,MN,St. Peter,True,67.0,54310.0
Gwynedd Mercy University,PA,Gwynedd Valley,True,260.0,38310.0
Hamilton College,NY,Clinton,True,16.0,65740.0
Hamline University,MN,St. Paul,True,10.0,49031.0
Hampden-Sydney College,VA,Hampden-Sydney,True,116.0,52388.0
Hampshire College,MA,Amherst,True,139.0,56990.0
Hampton University,VA,Hampton,True,280.0,29312.0
Hannibal-LaGrange University,MO,Hannibal,True,53.0,25600.0
Hanover College,IN,Hanover,True,112.0,41441.0
Harding University,AR,Searcy,True,304.0,24888.0
Hardin-Simmons University,TX,Abilene,True,,31686.0
Harrisburg University of Science and Technology,PA,Harrisburg,True,,23900.0
Harris-Stowe State University,MO,St. Louis,True,,10690.0
Hartwick College,NY,Oneonta,True,121.0,52849.0
Harvard University,MA,Cambridge,True,3.0,59076.0
Harvey Mudd College,CA,Claremont,True,16.0,66255.0
Haskell Indian Nations University,KS,Lawrence,True,,480.0
Hastings College,NE,Hastings,True,20.0,36130.0
Haverford College,PA,Haverford,True,21.0,68020.0
Hawaii Pacific University,HI,Honolulu,True,73.0,31940.0
Hebrew Theological College,IL,Skokie,True,,14200.0
Heidelberg University,OH,Tiffin,True,53.0,33628.0
Hellenic College,MA,Brookline,True,,22490.0
Henderson State University,AR,Arkadelphia,True,108.0,9768.0
Hendrix College,AR,Conway,True,112.0,36650.0
Henry Ford College,MI,Dearborn,True,,7348.0
Heritage University,WA,Toppenish,True,50.0,19500.0
Herzing University,WI,Madison,True,,12750.0
Herzing University-Atlanta,GA,Atlanta,True,,12750.0
Herzing University-Brookfield,WI,Brookfield,True,,12750.0
Herzing University-Kenosha,WI,Kenosha,True,,12750.0
Herzing University--Minneapolis,MN,,True,,12750.0
Herzing University--Orlando,FL,Winter Park,True,,12750.0
Hesston College,KS,Hesston,True,,29952.0
Highline College,WA,Des Moines,True,,4948.0
High Point University,NC,High Point,True,1.0,46548.0
Hilbert College,NY,Hamburg,True,28.0,29900.0
Hillsdale College,MI,Hillsdale,True,39.0,32092.0
Hiram College,OH,Hiram,True,10.0,26265.0
Hobart and William Smith Colleges,NY,Geneva,True,70.0,63268.0
Hodges University,FL,Naples,True,,15500.0
Hofstra University,NY,Hempstead,True,185.0,55450.0
Hollins University,VA,Roanoke,True,124.0,41210.0
Holy Apostles College and Seminary,CT,Cromwell,True,,9440.0
"Holy Cross College at Notre Dame, Indiana",IN,Notre Dame,True,,35500.0
Holy Family University,PA,Philadelphia,True,116.0,32558.0
Hood College,MD,Frederick,True,60.0,45870.0
Hope College,MI,Holland,True,100.0,37221.0
Hope International University,CA,Fullerton,True,81.0,36250.0
Houghton University,NY,Houghton,True,146.0,17290.0
Houston Christian University,TX,Houston,True,66.0,36600.0
Howard Payne University,TX,Brownwood,True,30.0,33552.0
Howard University,DC,Washington,True,115.0,33344.0
Huertas College,PR,Caguas,True,,7920.0
Hult International Business School,MA,Cambridge,True,,50800.0
Humphreys University,CA,Stockton,True,,14760.0
Huntingdon College,AL,Montgomery,True,9.0,28650.0
Huntington University,IN,Huntington,True,37.0,28930.0
Husson University,ME,Bangor,True,361.0,22194.0
Huston-Tillotson University,TX,Austin,True,35.0,14703.0
Idaho State University,ID,Pocatello,True,,25936.0
Ilisagvik College,AK,Barrow,True,,5260.0
Illinois College,IL,Jacksonville,True,124.0,37470.0
Illinois Institute of Technology,IL,Chicago,True,98.0,51763.0
Illinois State University,IL,Normal,True,209.0,27011.0
Illinois Wesleyan University,IL,Bloomington,True,1.0,55704.0
Immaculata University,PA,Immaculata,True,280.0,28550.0
Indiana State University,IN,Terre Haute,True,382.0,21734.0
Indiana Tech,IN,Fort Wayne,True,124.0,29560.0
Indiana University--Bloomington,IN,Bloomington,True,73.0,40482.0
Indiana University East,IN,Richmond,True,103.0,22043.0
Indiana University--Kokomo,IN,Kokomo,True,117.0,22043.0
Indiana University Northwest,IN,Gary,True,141.0,22043.0
Indiana University of Pennsylvania,PA,Indiana,True,320.0,14864.0
Indiana University-Purdue University--Indianapolis,IN,Indianapolis,True,201.0,33717.0
Indiana University--South Bend,IN,South Bend,True,112.0,22043.0
Indiana University Southeast,IN,New Albany,True,133.0,22043.0
Indiana Wesleyan University,IN,Marion,True,13.0,29684.0
Indian River State College,FL,Fort Pierce,True,,10201.0
Institute of American Indian Arts,NM,Santa Fe,True,,5561.0
Inter American University of Puerto Rico--Aguadilla,PR,Aguadilla,True,118.0,5542.0
Inter American University of Puerto Rico--Arecibo,PR,Arecibo,True,118.0,5580.0
Inter American University of Puerto Rico--Barranquitas,PR,Barranquitas,True,43.0,5542.0
Inter American University of Puerto Rico--Bayamon,PR,Bayamon,True,89.0,5580.0
Inter American University of Puerto Rico--Fajardo,PR,Fajardo,True,81.0,5580.0
Inter American University of Puerto Rico--Guayama,PR,Guayama,True,74.0,5580.0
Inter American University of Puerto Rico--Metropolitan Campus,PR,San Juan,True,120.0,5580.0
Inter American University of Puerto Rico--Ponce,PR,Mercedita,True,76.0,5580.0
Inter American University of Puerto Rico--San German,PR,San German,True,93.0,5580.0
International College of the Cayman Islands,,Grand Cayman KY1-1501,True,,
Iona University,NY,New Rochelle,True,60.0,45880.0
Iowa State University of Science and Technology,IA,Ames,True,115.0,26617.0
Ithaca College,NY,Ithaca,True,13.0,49883.0
Jackson College,MI,Jackson,True,,9375.0
Jackson State University,MS,Jackson,True,,9445.0
Jacksonville State University,AL,Jacksonville,True,63.0,21912.0
Jacksonville University,FL,Jacksonville,True,36.0,46030.0
James Madison University,VA,Harrisonburg,True,124.0,30790.0
Jamestown Business College,NY,Jamestown,True,,12945.0
Jarvis Christian University,TX,Hawkins,True,34.0,11720.0
Jessup University,CA,Rocklin,True,56.0,37150.0
Jewish Theological Seminary of America,NY,New York,True,,68365.0
John Brown University,AR,Siloam Springs,True,13.0,30832.0
John Carroll University,OH,University Heights,True,3.0,49100.0
John Paul the Great Catholic University,CA,Escondido,True,15.0,29500.0
Johns Hopkins University,MD,Baltimore,True,9.0,63340.0
Johnson C. Smith University,NC,Charlotte,True,172.0,21714.0
Johnson University (TN),TN,Knoxville,True,31.0,19274.0
Johnson & Wales University--Charlotte,NC,Charlotte,True,24.0,39992.0
Johnson & Wales University--Providence,RI,Providence,True,69.0,39992.0
Judson University,IL,Elgin,True,108.0,30910.0
Juilliard School,NY,New York,True,,53550.0
Juniata College,PA,Huntingdon,True,82.0,56402.0
Kalamazoo College,MI,Kalamazoo,True,70.0,56562.0
Kansas City Art Institute,MO,Kansas City,True,,41924.0
Kansas State University,KS,Manhattan,True,170.0,27816.0
Kansas Wesleyan University,KS,Salina,True,41.0,33470.0
Kean University,NJ,Union,True,320.0,21076.0
Keene State College,NH,Keene,True,12.0,26186.0
Keiser University,FL,Ft. Lauderdale,True,249.0,36020.0
Kennesaw State University,GA,Kennesaw,True,,20966.0
Kent State University,OH,Kent,True,227.0,22316.0
Kent State University at East Liverpool,OH,East Liverpool,True,,16164.0
Kentucky Christian University,KY,Grayson,True,64.0,25000.0
Kentucky State University,KY,Frankfort,True,34.0,13260.0
Kentucky Wesleyan College,KY,Owensboro,True,22.0,31300.0
Kenyon College,OH,Gambier,True,39.0,69330.0
Kettering College,OH,Kettering,True,,14664.0
Kettering University,MI,Flint,True,9.0,46380.0
Keuka College,NY,Keuka Park,True,137.0,38000.0
Keystone College,PA,La Plume,True,29.0,17450.0
King's College,PA,Wilkes-Barre,True,91.0,42600.0
The King's College,NY,New York,True,167.0,21690.0
King University,TN,Bristol,True,59.0,14771.0
Knox College,IL,Galesburg,True,75.0,55587.0
Kutztown University of Pennsylvania,PA,Kutztown,True,116.0,15270.0
Kuyper College,MI,Grand Rapids,True,56.0,25370.0
Laboure College,MA,Milton,True,,32813.0
Lackawanna College,PA,Scranton,True,,17340.0
Lafayette College,PA,Easton,True,30.0,61824.0
LaGrange College,GA,LaGrange,True,12.0,34540.0
Laguna College of Art and Design,CA,Laguna Beach,True,,34600.0
Lake Erie College,OH,Painesville,True,142.0,35024.0
Lake Forest College,IL,Lake Forest,True,73.0,54202.0
Lakeland University,WI,Plymouth,True,140.0,31786.0
Lake Michigan College,MI,Benton Harbor,True,,7148.0
Lake-Sumter State College,FL,Leesburg,True,,13276.0
Lake Superior State University,MI,Sault Ste. Marie,True,10.0,13840.0
Lakeview College of Nursing,IL,Danville,True,,18770.0
Lake Washington Institute of Technology,WA,Kirkland,True,,10390.0
Lamar University,TX,Beaumont,True,,22826.0
Lancaster Bible College,PA,Lancaster,True,141.0,28460.0
Lander University,SC,Greenwood,True,20.0,21300.0
Landmark College,VT,Putney,True,,64290.0
Lane College,TN,Jackson,True,,11790.0
Langston University,OK,Langston,True,,14166.0
La Roche University,PA,Pittsburgh,True,137.0,33120.0
La Salle University,PA,Philadelphia,True,201.0,35520.0
Lasell University,MA,Newton,True,104.0,26000.0
La Sierra University,CA,Riverside,True,41.0,35910.0
Lawrence Technological University,MI,Southfield,True,53.0,41872.0
Lawrence University,WI,Appleton,True,75.0,55461.0
Lebanese American University,,Chouran,True,,
Lebanon Valley College,PA,Annville,True,64.0,50320.0
Lees-McRae College,NC,Banner Elk,True,28.0,29440.0
Lee University,TN,Cleveland,True,31.0,22690.0
Lehigh University,PA,Bethlehem,True,47.0,62180.0
Le Moyne College,NY,Syracuse,True,17.0,38970.0
LeMoyne-Owen College,TN,Memphis,True,,12076.0
Lenoir-Rhyne University,NC,Hickory,True,40.0,30900.0
Lesley University,MA,Cambridge,True,342.0,31364.0
LeTourneau University,TX,Longview,True,34.0,35500.0
Lewis & Clark College,OR,Portland,True,93.0,62350.0
Lewis-Clark State College,ID,Lewiston,True,26.0,21386.0
Lewis University,IL,Romeoville,True,13.0,37872.0
Liberty University,VA,Lynchburg,True,,25040.0
Life Pacific University,CA,San Dimas,True,20.0,20450.0
Life University,GA,Marietta,True,110.0,15036.0
LIM College,NY,New York,True,,30950.0
Limestone University,SC,Gaffney,True,63.0,27500.0
Lincoln Christian University,IL,Lincoln,True,,14920.0
Lincoln Memorial University,TN,Harrogate,True,269.0,26150.0
Lincoln University (CA),CA,Oakland,True,,11420.0
Lincoln University (MO),MO,Jefferson City,True,64.0,15616.0
Lincoln University (PA),PA,Lincoln University,True,123.0,18464.0
Lindenwood University,MO,St. Charles,True,121.0,19900.0
Lindsey Wilson College,KY,Columbia,True,93.0,27274.0
Linfield University,OR,McMinnville,True,107.0,49460.0
Lipscomb University,TN,Nashville,True,236.0,38824.0
Livingstone College,NC,Salisbury,True,78.0,18293.0
Logan University,MO,Chesterfield,True,,7800.0
Loma Linda University,CA,Loma Linda,True,,37332.0
Long Island University,NY,Brookville,True,369.0,41492.0
Longwood University,VA,Farmville,True,21.0,27410.0
Loras College,IA,Dubuque,True,12.0,38298.0
Louisiana Christian University,LA,Pineville,True,105.0,19720.0
Louisiana State University--Alexandria,LA,Alexandria,True,61.0,16640.0
Louisiana State University--Baton Rouge,LA,Baton Rouge,True,185.0,28631.0
Louisiana State University Health Sciences Center,LA,New Orleans,True,,18851.0
Louisiana State University--Shreveport,LA,Shreveport,True,93.0,7519.0
Louisiana Tech University,LA,Ruston,True,304.0,19608.0
Lourdes University,OH,Sylvania,True,120.0,28650.0
Loyola Marymount University,CA,Los Angeles,True,93.0,58489.0
Loyola University Chicago,IL,Chicago,True,142.0,51706.0
Loyola University Maryland,MD,Baltimore,True,7.0,55480.0
Loyola University New Orleans,LA,New Orleans,True,260.0,47240.0
Lubbock Christian University,TX,Lubbock,True,82.0,26300.0
Luther College,IA,Decorah,True,116.0,50320.0
Lycoming College,PA,Williamsport,True,107.0,47450.0
Lynn University,FL,Boca Raton,True,49.0,42950.0
Lyon College,AR,Batesville,True,167.0,31000.0
Macalester College,MN,St. Paul,True,27.0,64908.0
Madonna University,MI,Livonia,True,84.0,27360.0
Maharishi International University,IA,Fairfield,True,,16530.0
Maine College of Art,ME,Portland,True,,39830.0
Maine Maritime Academy,ME,Castine,True,5.0,30226.0
Malone University,OH,Canton,True,101.0,36120.0
Manchester University,IN,North Manchester,True,60.0,35772.0
Manhattan Christian College,KS,Manhattan,True,,17914.0
Manhattan College,NY,Riverdale,True,13.0,50848.0
Manhattan School of Music,NY,New York,True,,52550.0
Manhattanville College,NY,Purchase,True,80.0,42550.0
Manor College,PA,,True,,19414.0
Maranatha Baptist University,WI,Watertown,True,133.0,18810.0
Maria College of Albany,NY,Albany,True,,16510.0
Marian University (IN),IN,Indianapolis,True,280.0,39100.0
Marian University (WI),WI,Fond du Lac,True,124.0,33000.0
Marietta College,OH,Marietta,True,18.0,38974.0
Marist College,NY,Poughkeepsie,True,10.0,46110.0
Marquette University,WI,Milwaukee,True,86.0,48700.0
Marshall University,WV,Huntington,True,332.0,19658.0
Mars Hill University,NC,Mars Hill,True,20.0,37270.0
Martin Luther College,MN,New Ulm,True,,17770.0
Martin University,IN,Indianapolis,True,,13200.0
Mary Baldwin University,VA,Staunton,True,,33127.0
Maryland Institute College of Art,MD,Baltimore,True,,53815.0
Marymount Manhattan College,NY,New York,True,174.0,40260.0
Marymount University,VA,Arlington,True,320.0,38250.0
Maryville College,TN,Maryville,True,172.0,38514.0
Maryville University of St. Louis,MO,St Louis,True,249.0,27166.0
Marywood University,PA,Scranton,True,50.0,39570.0
Massachusetts College of Art and Design,MA,Boston,True,,42190.0
Massachusetts College of Liberal Arts,MA,North Adams,True,121.0,21859.0
Massachusetts Institute of Technology,MA,Cambridge,True,2.0,60156.0
Massachusetts Maritime Academy,MA,Buzzards Bay,True,11.0,24186.0
The Master's University and Seminary,CA,Santa Clarita,True,332.0,32870.0
Mayville State University,ND,Mayville,True,60.0,12487.0
McDaniel College,MD,Westminster,True,80.0,49647.0
McKendree University,IL,Lebanon,True,84.0,34070.0
McMurry University,TX,Abilene,True,23.0,31162.0
McNeese State University,LA,Lake Charles,True,86.0,9940.0
McPherson College,KS,McPherson,True,27.0,35162.0
MCPHS University,MA,Boston,True,,37230.0
Medgar Evers College--CUNY,NY,Brooklyn,True,182.0,18920.0
Medical University of South Carolina,SC,Charleston,True,,29509.0
Menlo College,CA,Atherton,True,,49090.0
Mercer University,GA,Macon,True,170.0,40890.0
Mercy College of Health Sciences,IA,Des Moines,True,,16632.0
Mercy College of Ohio,OH,Toledo,True,,18950.0
Mercyhurst University,PA,Erie,True,54.0,44510.0
Mercy University,NY,Dobbs Ferry,True,123.0,22106.0
Meredith College,NC,Raleigh,True,130.0,43936.0
Merrimack College,MA,North Andover,True,33.0,51786.0
Messiah University,PA,Mechanicsburg,True,33.0,40640.0
Methodist College,IL,Peoria,True,,18008.0
Methodist University,NC,Fayetteville,True,91.0,39664.0
Metropolitan College of New York,NY,New York,True,,20188.0
Metropolitan State University,MN,St. Paul,True,96.0,9684.0
Metropolitan State University of Denver,CO,Denver,True,94.0,29630.0
MGH Institute of Health Professions,MA,Boston,True,,86395.0
Miami Dade College,FL,Miami,True,,14437.0
Miami International University of Art & Design,FL,Miami,True,81.0,10794.0
Miami Regional University,FL,,True,,36366.0
Miami University--Hamilton,OH,Hamilton,True,58.0,18196.0
Miami University--Middletown,OH,Middletown,True,58.0,18196.0
Miami University--Oxford,OH,Oxford,True,133.0,38127.0
Michigan State University,MI,East Lansing,True,60.0,41958.0
Michigan Technological University,MI,Houghton,True,151.0,41340.0
Mid-America Christian University,OK,Oklahoma City,True,,18838.0
MidAmerica Nazarene University,KS,Olathe,True,112.0,36120.0
Mid-Atlantic Christian University,NC,Elizabeth City,True,76.0,17040.0
Middlebury College,VT,Middlebury,True,11.0,65280.0
Middle Georgia State University,GA,Macon,True,105.0,17332.0
Middle Tennessee State University,TN,Murfreesboro,True,304.0,29584.0
Midland College,TX,Midland,True,,5880.0
Midland University,NE,Fremont,True,147.0,38300.0
Midway University,KY,Midway,True,76.0,26080.0
Midwestern Baptist Theological Seminary,MO,Kansas City,True,,9480.0
Midwestern State University,TX,Wichita Falls,True,52.0,11726.0
Miles College,AL,Birmingham,True,86.0,12714.0
Millersville University of Pennsylvania,PA,Millersville,True,116.0,21982.0
Milligan University,TN,Milligan,True,15.0,39350.0
Millikin University,IL,Decatur,True,15.0,43570.0
Millsaps College,MS,Jackson,True,124.0,43815.0
Milwaukee Institute of Art and Design,WI,Milwaukee,True,,41140.0
Milwaukee School of Engineering,WI,Milwaukee,True,2.0,48421.0
Minneapolis College of Art and Design,MN,Minneapolis,True,,42560.0
Minnesota State University--Mankato,MN,Mankato,True,67.0,19366.0
Minnesota State University--Moorhead,MN,Moorhead,True,52.0,19072.0
Minot State University,ND,Minot,True,120.0,8634.0
MiraCosta College,CA,Oceanside,True,,8448.0
Misericordia University,PA,Dallas,True,227.0,38370.0
Mississippi College,MS,Clinton,True,369.0,21698.0
Mississippi State University,MS,Mississippi State,True,216.0,26580.0
Mississippi University for Women,MS,Columbus,True,27.0,8092.0
Mississippi Valley State University,MS,Itta Bena,True,120.0,7334.0
Missouri Baptist University,MO,St. Louis,True,,33316.0
Missouri Southern State University,MO,Joplin,True,141.0,16800.0
Missouri State University,MO,Springfield,True,342.0,17144.0
Missouri University of Science and Technology,MO,Rolla,True,185.0,31862.0
Missouri Valley College,MO,Marshall,True,,22450.0
Missouri Western State University,MO,St. Joseph,True,140.0,16100.0
Mitchell College,CT,New London,True,35.0,37250.0
Modesto Junior College,CA,Modesto,True,,7308.0
Molloy University,NY,Rockville Centre,True,50.0,37840.0
Monmouth College,IL,Monmouth,True,129.0,43520.0
Monmouth University,NJ,West Long Branch,True,17.0,44850.0
Monroe College,NY,Bronx,True,64.0,17922.0
Montana State University,MT,Bozeman,True,303.0,27990.0
Montana State University--Billings,MT,Billings,True,102.0,19847.0
Montana State University--Northern,MT,Havre,True,18.0,18665.0
Montana Technological University,MT,Butte,True,41.0,24720.0
Montclair State University,NJ,Montclair,True,163.0,22470.0
Montreat College,NC,Montreat,True,72.0,30810.0
Montserrat College of Art,MA,Beverly,True,21.0,37850.0
Moody Bible Institute,IL,Chicago,True,,13898.0
Moore College of Art & Design,PA,Philadelphia,True,,47990.0
Moravian University,PA,Bethlehem,True,39.0,52000.0
Morehead State University,KY,Morehead,True,45.0,14706.0
Morehouse College,GA,Atlanta,True,100.0,14734.0
Morgan State University,MD,Baltimore,True,332.0,18800.0
Morningside University,IA,Sioux City,True,92.0,36610.0
Morris College,SC,Sumter,True,79.0,15758.0
Mount Aloysius College,PA,Cresson,True,27.0,25510.0
Mount Angel Seminary,OR,St. Benedict,True,,27832.0
Mount Carmel College of Nursing,OH,Columbus,True,,13290.0
Mount Holyoke College,MA,South Hadley,True,34.0,64142.0
Mount Marty University,SD,Yankton,True,117.0,33100.0
Mount Mary University,WI,Milwaukee,True,47.0,34390.0
Mount Mercy University,IA,Cedar Rapids,True,56.0,37606.0
Mount Saint Mary's University,CA,Los Angeles,True,11.0,48132.0
Mount St. Joseph University,OH,Cincinnati,True,376.0,34900.0
Mount St. Mary College,NY,Newburgh,True,96.0,41370.0
Mount St. Mary's University,MD,Emmitsburg,True,69.0,47240.0
Mount Vernon Nazarene University,OH,Mount Vernon,True,67.0,34168.0
Muhlenberg College,PA,Allentown,True,70.0,60240.0
Multnomah University,OR,Portland,True,82.0,28810.0
Murray State University,KY,Murray,True,31.0,14328.0
Muskingum University,OH,New Concord,True,46.0,31690.0
Naropa University,CO,Boulder,True,,34800.0
National Louis University,IL,Chicago,True,,11580.0
National University,CA,La Jolla,True,,13320.0
National University College,PR,Bayamon,True,,7158.0
Navajo Technical University,NM,Crownpoint,True,,3278.0
Nazareth University,NY,Rochester,True,54.0,40880.0
Nebraska Methodist College,NE,Omaha,True,,16883.0
Nebraska Wesleyan University,NE,Lincoln,True,38.0,41658.0
Neumann University,PA,Aston,True,123.0,37590.0
Neumont College of Computer Science,UT,,True,,26505.0
Nevada State University,NV,Henderson,True,35.0,19964.0
Newberry College,SC,Newberry,True,10.0,30050.0
New College of Florida,FL,Sarasota,True,100.0,29944.0
New England College,NH,Henniker,True,,41454.0
New England Conservatory of Music,MA,Boston,True,,55210.0
New England Institute of Technology,RI,East Greenwich,True,,35625.0
New Jersey City University,NJ,Jersey City,True,143.0,24163.0
New Jersey Institute of Technology,NJ,Newark,True,86.0,34972.0
Newman University,KS,Wichita,True,124.0,34400.0
New Mexico Highlands University,NM,Las Vegas,True,98.0,11988.0
New Mexico State University,NM,Las Cruces,True,296.0,27385.0
New Mexico Tech,NM,Socorro,True,34.0,26312.0
New Orleans Baptist Theological Seminary,LA,New Orleans,True,,10820.0
The New School,NY,New York,True,201.0,56244.0
NewSchool of Architecture and Design,CA,San Diego,True,91.0,30291.0
New York Institute of Technology,NY,Old Westbury,True,21.0,44360.0
New York School of Interior Design,NY,New York,True,,28580.0
New York University,NY,New York,True,35.0,60438.0
Niagara University,NY,Niagara University,True,30.0,37920.0
Nicholls State University,LA,Thibodaux,True,69.0,9249.0
Nichols College,MA,Dudley,True,118.0,40475.0
Nightingale College,UT,,True,,70800.0
Norfolk State University,VA,Norfolk,True,55.0,21412.0
North Carolina Agricultural and Technical State University,NC,Greensboro,True,280.0,20243.0
North Carolina Central University,NC,Durham,True,26.0,19715.0
North Carolina State University,NC,Raleigh,True,60.0,31976.0
North Carolina Wesleyan University,NC,Rocky Mount,True,47.0,35936.0
North Central College,IL,Naperville,True,24.0,44394.0
North Central University,MN,Minneapolis,True,23.0,29460.0
North Dakota State University,ND,Fargo,True,249.0,15646.0
Northeastern Illinois University,IL,Chicago,True,139.0,22725.0
Northeastern State University,OK,Tahlequah,True,62.0,17172.0
Northeastern University,MA,Boston,True,53.0,63141.0
Northern Arizona University,AZ,Flagstaff,True,249.0,28900.0
Northern Illinois University,IL,DeKalb,True,269.0,12504.0
Northern Kentucky University,KY,Highland Heights,True,382.0,21480.0
Northern Marianas College,MP,Saipan,True,40.0,5520.0
Northern Michigan University,MI,Marquette,True,60.0,18800.0
Northern New Mexico College,NM,Espanola,True,32.0,14329.0
Northern State University,SD,Aberdeen,True,88.0,11947.0
North Florida College,FL,Madison,True,13.0,11400.0
North Greenville University,SC,Tigerville,True,36.0,24500.0
Northland College,WI,Ashland,True,33.0,41237.0
North Park University,IL,Chicago,True,30.0,34020.0
North Seattle College,WA,Seattle,True,,5547.0
Northwestern College,IA,Orange City,True,43.0,35300.0
Northwestern Health Sciences University,MN,Bloomington,True,,11007.0
Northwestern Michigan College,MI,Traverse City,True,,12048.0
Northwestern Oklahoma State University,OK,Alva,True,86.0,11664.0
Northwestern State University of Louisiana,LA,Natchitoches,True,73.0,19460.0
Northwestern University,IL,Evanston,True,9.0,65997.0
Northwest Florida State College,FL,Niceville,True,,11625.0
Northwest Indian College,WA,Bellingham,True,,3969.0
Northwest Missouri State University,MO,Maryville,True,76.0,19461.0
Northwest Nazarene University,ID,Nampa,True,50.0,39370.0
Northwest University,WA,Kirkland,True,44.0,36036.0
Northwood University,MI,Midland,True,,33000.0
Norwich University,VT,Northfield,True,90.0,50600.0
Notre Dame College of Ohio,OH,Cleveland,True,53.0,31950.0
